NCTId,BriefTitle,BriefSummary,DetailedDescription,OverallStatus,Gender,MinimumAge,MaximumAge,Keyword,PrimaryOutcomeTimeFrame,DesignAllocation,DesignInterventionModel,DesignPrimaryPurpose,Condition,InterventionName
NCT00441922,Trial of Docetaxel Versus Vinorelbine as 1st Line Treatment in Elderly Patients With Non Small Cell Lung Cancer (NSCLC),This trial will compare the efficacy of docetaxel versus vinorelbine as first line treatment in elderly patients with advanced NSCLC.,Docetaxel and vinorelbine are well known active agents in the treatment of NSCLC. The standard treatment of elderly patients with advanced NSCLC is monotherapy with a third generation agent. The role of comprehensive geriatric assessment in treatment efficacy and tolerance is an area of investigation.,Completed,All,65 Years,80 Years,"Cancer, Elderly, Chemotherapy, Docetaxel, Vinorelbine",1 year,Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Cancer,"Docetaxel, Vinorelbine"
NCT01083589,Imatinib Mesylate and Docetaxel in Non Small Cell Lung Cancer (NSCLC),The goal of this clinical research study is to learn how effective the combination of the drugs imatinib mesylate (Gleevec®) and docetaxel (Taxotere®) is in treating non small cell lung cancer (NSCLC). The safety and tolerability of this drug combination will also be studied.,"Imatinib mesylate is a medication that blocks certain proteins important in the development of cancer. Docetaxel is a drug that is designed to target and destroy cancer cells. If you are found to be eligible to take part in this study, you will take 4 imatinib mesylate tablets by mouth once a day. Docetaxel will be given through a vein in your arm on the first day of each treatment cycle for a total of 6 cycles. The infusion will take 1 hour. A treatment cycle on this study is 21 days. You will need to take steroids (dexamethasone) before receiving docetaxel to try to prevent fluid accumulation and hypersensitivity reactions. The dexamethasone will come in a pill form to be taken every 12 hours for 3 days starting the day before chemotherapy. You will also receive additional dexamethasone by vein before the docetaxel is given. After you complete 6 treatment cycles, you will continue to take 4 imatinib mesylate tablets each day until your cancer gets worse, or you experience unacceptable side effects, or you withdraw from the study. While on this study, you will have a physical exam every 3 weeks. During the first 5 weeks of the study, you will have blood tests each week. About 3 teaspoons of blood will be drawn each time. After the first 5 weeks, you will have blood tests (3 teaspoons each) at the beginning of each treatment cycle. In addition, your tumor will be measured by a CT or MRI scan every 6 weeks. You must agree not to use herbal remedies or other over the counter therapies (e.g., shark cartilage) during treatment. If you develop any unacceptable symptoms or changes in your laboratory tests, your treatment may be delayed and,or the dose decreased until the symptoms are gone. It may even be necessary to stop your treatment. Your doctor will inform you of any changes in your dosing schedule or in the doses of your medication after he,she evaluates you in the clinic. After treatment ends, you will have a follow up visit at the clinic. At this visit, you will have a complete physical exam, including blood (about 3 teaspoons) and urine tests. You will also have a CT scan to measure the size of the tumor in your body. This is an investigational study. Imatinib mesylate is FDA approved for the treatment of leukemia. Docetaxel is FDA approved for the treatment of breast, prostate, and NSCLC. Up to 50 patients will take part in this study. All will be enrolled at UTMDACC.",Completed,All,18 Years,,"Lung Cancer, Metastatic NSCLC, Tumor, Imatinib Mesylate, Gleevec, Docetaxel, Taxotere",Baseline and with each 3 week cycle,,Single Group Assignment,Treatment,Non small Cell Lung Cancer,"Imatinib Mesylate, Docetaxel"
NCT00026156,S0027: Vinorelbine Followed by Docetaxel in Treating Patients With Advanced Non Small Cell Lung Cancer,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of vinorelbine followed by docetaxel in treating patients who have advanced non small cell lung cancer.,"OBJECTIVES: Determine the survival of patients with advanced non small cell lung cancer who are either age 70 and over or who have performance status 2, when treated with sequential vinorelbine and docetaxel. (Age 70 and older with Zubrod 0 1 stratum closed to accrual as of 2,15,2003.). Determine the objective tumor response rates, including confirmed and unconfirmed and complete and partial, in patients treated with this regimen.. Assess the dose delivered and the reported functional symptom status of patients treated with this regimen.. Determine the toxic effects of this regimen in these patients.. Determine the feasibility of performing pharmacokinetic studies and obtaining pharmacokinetic data on these patients. OUTLINE: This is a multicenter study. Patients are stratified according to age and performance status (age 70 and over with Zubrod 0 1 vs age 18 and over with Zubrod 2). (Age 70 and older with Zubrod 0 1 stratum closed to accrual as of 2,15,2003.) Patients receive vinorelbine IV over 6 10 minutes on days 1 and 8. Treatment repeats every 21 days for 3 courses in the absence of unacceptable toxicity. Beginning 2 weeks after the last dose of vinorelbine, patients receive docetaxel IV over 1 hour on days 1, 8, and 15. Treatment repeats every 28 days for 3 courses in the absence of unacceptable toxicity. Quality of life is assessed at baseline, at the beginning of courses 2 6, and at week 22. Patients are followed at week 22, every 3 months for 1 year, and then every 6 months for 2 years. PROJECTED ACCRUAL: A minimum of 95 patients (55 patients age 70 and over with Zubrod 0 1 and 40 patients age 18 and over with Zubrod 2) will be accrued for this study within 12 18 months. (Age 70 and older with Zubrod 0 1 stratum closed to accrual as of 2,15,2003.)",Completed,All,18 Years,,"recurrent non small cell lung cancer, squamous cell lung cancer, large cell lung cancer, stage IIIB non small cell lung cancer, stage IV non small cell lung cancer, adenocarcinoma of the lung",,,Single Group Assignment,Treatment,Lung Cancer,"docetaxel, vinorelbine tartrate"
NCT00193323,"Weekly Docetaxel Versus Weekly Docetaxel,Gemcitabine in the Treatment of Non Small Cell Lung Cancer in Elderly Patients","In this randomized trial, we attempt to further define optimal palliative chemotherapy for elderly patients with advanced non small cell lung cancer by comparing single agent treatment with weekly docetaxel versus combination therapy with weekly docetaxel plus gemcitabine.","Upon determination of eligibility, patients will be randomly assigned to one of two treatment arms: Docetaxel Docetaxel + Gemcitabine For ever 2 patients treated, 1 will receive treatment A (docetaxel) and 1 will receive treatment B (Docetaxel + Gemcitabine). The study is not blinded so both the patient and the doctor will know which treatment has been assigned.",Completed,All,18 Years,,,,Randomized,Parallel Assignment,Treatment,Lung Cancer,"Docetaxel, Gemcitabine"
NCT00840125,Study of Erlotinib With Docetaxel in Selected Non Small Cell Lung Cancer Patients in First Line Treatment,"Study Rationale: There is increasing evidence that erlotinib improves overall survival in selected patients with stage IIIB IV NSCLC. Furthermore, pre clinical and phase II studies have shown a potential for synergism between erlotinib and docetaxel. This study will further evaluate the effects of combination treatment on overall survival in selected NSCLC patient population. Based on recent published data, the treatment cycle in this study will be 22 days with two infusions (Day 1 and Day 8 of each cycle). This is different from the standard therapy care of 28 day cycle (three infusions on Days 1, 8 and 15). The shorter 22 day cycle was shown to be just as effective as the 28 day cycle and is expected to increase subject compliance and decrease chemotherapy induced toxicity. Study Objectives: The primary objective is to demonstrate superiority in progression free survival, when erlotinib is added to docetaxel. The secondary objectives are to determine: Overall survival (defined as the time period from the start of first line therapy to death). Time to treatment failure or disease progression (defined as the time period from the start of first line therapy to investigator assessed disease progression). Tumor response rate and duration. Safety profile. Quality of Life improvement. microRNA profile (assessed from human lung biopsy and,or cytology samples) at screening for prognostic purposes","Study Design: This will be a Phase II, open label, single center, repeat dose, study. After a two week screening phase, eligible subjects will receive combined docetaxel and erlotinib treatment over six cycles. Each 22 day treatment cycle will consist of two infusion of docetaxel, one week apart followed by one week rest, and daily administration of erlotinib. Subjects, who complete six cycles of combination therapy, will continue receiving erlotinib monotherapy for as long as they are benefiting from this therapy in the opinion of the investigator (i.e. until continued toxicity or disease progression or withdrawal from the study). Subjects will be evaluated for safety and radiologic tumor assessment throughout the study until death. The study will be terminated after every living patient has had a follow up of at least 6 months after stopping TarcevaTM, or when all patients have died.",Completed,All,18 Years,,"NSCLC, ERLOTINIB, DOCETAXEL, first line treatment, Stage IIIB ,IV, not previously treated, ECOG PS 2 or age over 65",1 year,Non Randomized,Single Group Assignment,Treatment,Non Small Cell Lung Cancer,"erlotinib, docetaxel"
NCT02450539,A Study of Abemaciclib (LY2835219) in Participants With Stage IV Squamous Non small Cell Lung Cancer,The main purpose of this study is to evaluate the effectiveness of the study drug known as abemaciclib versus docetaxel in participants with stage IV squamous non small cell lung cancer (NSCLC) previously treated with platinum based chemotherapy.,,Completed,All,18 Years,,"patient reported outcomes (PRO), patient focused outcomes (PFO), biomarkers, CDK 4 and 6",Baseline to Objective Progression or Death from Any Cause ( Up To 6 Months),Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Cancer Stage IV,"Abemaciclib, Docetaxel"
NCT00630110,"Phase 1,2 Study of Vascular Disrupting Agent NPI 2358 + Docetaxel in Patients With Advanced Non Small Cell Lung Cancer","This is a clinical trial examining the vascular disrupting agent NPI 2358 combined with docetaxel in patients with advanced non small cell lung cancer (NSCLC). The formation of new blood vessels (angiogenesis) is an important component of tumor growth, vascular disrupting agents are intended to target the differences between these tumor blood vessels and the blood vessels in normal tissues.","This is a clinical trial examining the vascular disrupting agent NPI 2358 combined with docetaxel in patients with advanced non small cell lung cancer (NSCLC). The formation of new blood vessels (angiogenesis) is an important component of tumor growth, vascular disrupting agents are intended to target the differences between these tumor blood vessels and the blood vessels in normal tissues. There are indications of advantages in combining vascular disrupting agents with standard agents in the treatment of advanced non small cell lung cancer (NSCLC).",Completed,All,18 Years,,Non Small Cell Lung,Continuous,Randomized,Parallel Assignment,Treatment,Cancer,"docetaxel, NPI 2358 + docetaxel"
NCT00362882,Docetaxel and Bortezomib in Treating Patients With Progressive or Recurrent Non Small Cell Lung Cancer,"This trial is studying two different schedules of docetaxel and bortezomib to compare how well they work in treating patients with progressive or recurrent non small cell lung cancer. Drugs used in chemotherapy, such as docetaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Bortezomib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving docetaxel together with bortezomib may kill more tumor cells","PRIMARY OBJECTIVE: I. To compare the efficacy and tolerability of sequential vs concurrent docetaxel and bortezomib in patients with previously treated, progressive or recurrent, advanced non small cell lung cancer (NSCLC). SECOND OBJECTIVES: I. To compare time to progression in patients with previously treated NSCLC treated with these regimens. II. To compare 1 year and overall survival of patients treated with these regimens. III. To compare the toxicity of these regimens in these patients. IV. To determine the pharmacokinetics of docetaxel in the context of this study. TERTIARY OBJECTIVE: I. To determine levels of expression of molecular markers regulated by docetaxel and bortezomib and correlate with clinical response and overall survival of these patients. OUTLINE: This is a randomized, multicenter study. Patients are stratified according to ECOG performance status (0 vs 1) and number of prior chemotherapy treatments (1 vs >1). Patients are randomized to 1 of 2 treatment arms. ARM I: Patients receive docetaxel IV over 60 minutes on day 1 and bortezomib IV over 3 5 seconds on days 1 and 8. Treatment repeats every 21 days for up to 8 courses in the absence of disease progression or unacceptable toxicity. ARM II: Patients receive docetaxel as in arm I and bortezomib IV over 3 5 seconds on days 2 and 8. Treatment repeats every 21 days for up to 8 courses in the absence of disease progression or unacceptable toxicity. After completion of study therapy, patients are followed periodically.",Completed,All,18 Years,120 Years,,Up to 4 years,Randomized,Parallel Assignment,Treatment,"Non small Cell Lung Cancer, Recurrent Non small Cell Lung Cancer, Stage IV Non small Cell Lung Cancer","docetaxel, bortezomib, laboratory biomarker analysis, immunoenzyme technique, immunohistochemistry staining method, pharmacological study"
NCT00310154,"Gefitinib, Docetaxel, and Radiation Therapy in Treating Patients With Stage III Non Small Cell Lung Cancer","RATIONALE: Gefitinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Drugs used in chemotherapy, such as docetaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Radiation therapy uses high energy x rays to kill tumor cells. Giving gefitinib together with docetaxel and radiation therapy may kill more tumor cells. PURPOSE: This phase I trial is studying the side effects and best dose of docetaxel when given together with gefitinib and radiation therapy in treating patients with stage III non small cell lung cancer.","OBJECTIVES: Determine the maximum tolerated dose of docetaxel that can be safely delivered in combination with gefitinib and a definitive course of 3 D planned thoracic radiotherapy in patients with stage III non small cell lung cancer. OUTLINE: This is a dose escalation study of docetaxel. Chemoradiotherapy: Patients receive concurrent chemoradiotherapy comprising docetaxel IV over 30 minutes on day 1 and thoracic radiotherapy once daily on days 1 5 in weeks 1 7 in the absence of disease progression or unacceptable toxicity.. Consolidation chemotherapy: Beginning 2 weeks after the completion of chemoradiotherapy, patients receive consolidation chemotherapy comprising docetaxel IV over 60 minutes on days 1 and 22.. Gefitinib therapy: Patients also receive oral gefitinib once daily beginning at the start of chemoradiotherapy and continuing for up to 1 year* in the absence of disease progression. NOTE: *Patients continue to receive gefitinib during the 2 week rest period between chemoradiotherapy and consolidation chemotherapy. Cohorts of 3 6 patients receive escalating doses of docetaxel until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which 2 of 3 or 2 of 6 patients experience dose limiting toxicity. Tumor tissue is tested to determine correlation between epidermal growth factor receptor presence and response to treatment. After completion of study treatment, patients are followed every 3 months for 2 years and then every 6 months for 3 years. PROJECTED ACCRUAL: A total of 45 patients will be accrued in this study.",Completed,All,18 Years,120 Years,"stage IIIA non small cell lung cancer, stage IIIB non small cell lung cancer, adenosquamous cell lung cancer, bronchoalveolar cell lung cancer, large cell lung cancer, squamous cell lung cancer, adenocarcinoma of the lung",baseline to 2 months,Non Randomized,Single Group Assignment,Treatment,Lung Cancer,"docetaxel, gefitinib, laboratory biomarker analysis, radiation therapy"
NCT00065182,"Comparison of IV Topotecan,Docetaxel to Docetaxel Alone in Second Line Stage IIIB,IV Non Small Cell Lung Cancer",The purpose of this study is to compare the efficacy and safety of a weekly regimen of two FDA approved drugs in combination versus one FDA approved drug in subjects with advanced non small cell lung cancer who have received one previous chemotherapy excluding TAXOTERE or HYCAMTIN.,,Completed,All,18 Years,,"HYCAMTIN, TAXOTERE, non small cell lung cancer, NSCLC, docetaxel, topotecan, Stage IIIB,IV, Advanced",Up to one year from Day 1 (randomization),Randomized,Parallel Assignment,Treatment,"Lung Cancer, Non Small Cell, Non Small Cell Lung Cancer","Topotecan,Docetaxel combination, Docetaxel"
NCT00425191,Taxotere Combinations as First Line Therapy for Locally Advanced Unresectable or Metastatic Non small Cell Lung Cancer.,"To assess the antitumour activity (response rate) in patients with locally advanced or metastatic non small cell lung cancer (NSCLC) of two different combinations of docetaxel and gemcitabine and of a sequential treatment of cisplatin ,gemcitabine followed by docetaxel as first line chemotherapy · To evaluate the quantitative and qualitative toxicity of each treatment arms.· To determine time to progression, duration of response, time to treatment failure, and overall survival in each group.· To evaluate changes from baseline in the Lung Cancer Symptom Scale of patients in each treatment arm.",,Completed,All,18 Years,70 Years,,Performed after 3 cycles and at the end of treatment (6 cycles).,Randomized,Parallel Assignment,Treatment,Non small Cell Lung Cancer,"Docetaxel and Gemcitabine, Docetaxel and Gemcitabine, Gemcitabine cisplatin followed by docetaxel"
NCT00040885,"Docetaxel With or Without Infliximab in Treating Weight Loss, Loss of Appetite, and Fatigue in Patients With Unresectable Non Small Cell Lung Cancer (Infliximab Treatment Discontinued Effective 10,05,05)","RATIONALE: Drugs used in chemotherapy, such as docetaxel, work in different ways to stop tumor cells from dividing so they stop growing or die. Infliximab may improve cancer related weight loss, lack of appetite, and fatigue. It is not yet known whether docetaxel is more effective with or without infliximab in preventing weight loss and fatigue in patients with advanced cancer. (Infliximab treatment discontinued effective 10,05,05) PURPOSE: Randomized phase III trial to determine the effectiveness of docetaxel with or without infliximab in preventing weight loss, loss of appetite, and fatigue in patients who have unresectable non small cell lung cancer. (Infliximab treatment discontinued effective 10,05,05)","OBJECTIVES: Compare the improvement or stabilization of weight in elderly or poor performance status patients with unresectable non small cell lung cancer treated with docetaxel with or without infliximab (infliximab treatment discontinued effective 10,05,05).. Compare appetite and functional status in patients treated with these regimens.. Compare the toxicity of these regimens in these patients.. Compare the augmentation or maintenance of lean tissue in patients treated with these regimens.. Compare the response rates and time to disease progression in patients treated with these regimens.. Compare the survival of patients treated with these regimens.. Determine whether the tumor necrosis factor alpha polymorphisms in the 308 and 238 regions predict which cancer patients will experience loss of appetite and weight and which patients might potentially benefit from infliximab (infliximab treatment discontinued effective 10,05,05). OUTLINE: This is a randomized, double blind, placebo controlled, multicenter study. Patients are stratified according to weight loss within the past 6 months (0% vs more than 0% to less than 5% vs at least 5%), number of prior chemotherapy regimens (0 vs 1 vs more than 1), gender, and GBU prognostic index (good vs bad vs unsure). Part A (non randomized, single center portion of study): Five patients receive infliximab IV (infliximab treatment discontinued effective 10,05,05) over 2 hours once weekly on weeks 1, 3, and 5 of the first course and once weekly on weeks 1 and 5 of all subsequent courses and docetaxel IV over 1 hour (immediately after completion of infliximab infusion infliximab treatment discontinued effective 10,05,05) once weekly on weeks 1 6 of each course. Treatment repeats every 8 weeks for 2 3 courses in the absence of disease progression or unacceptable toxicity. If none of the 5 patients experiences any grade 4 or 5 toxicity directly attributable to infliximab (infliximab treatment discontinued effective 10,05,05), additional patients are accrued for part B of the study. Part B (randomized, multicenter portion of study): Patients are randomized to 1 of 2 treatment arms. Arm I (infliximab treatment discontinued effective 10,05,05): Patients receive infliximab and docetaxel as in part A.. Arm II: Patients receive docetaxel as in part A and placebo IV over 2 hours according to the infliximab schedule in part A (infliximab treatment discontinued effective 10,05,05). Treatment in both arms repeats as in part A. Quality of life, fatigue, appetite,anorexia, cachexia, and weight are assessed at baseline, weekly on weeks 1 8, and then monthly for the remainder of study treatment. Patients are followed every 6 months for 5 years.",Completed,All,18 Years,,"recurrent non small cell lung cancer, stage IIIA non small cell lung cancer, stage IIIB non small cell lung cancer, stage IV non small cell lung cancer, fatigue, anorexia, cachexia","Up to 5 years, Up to 5 years",Randomized,Parallel Assignment,Supportive Care,"Anorexia, Cachexia, Fatigue, Lung Cancer","infliximab, docetaxel, placebo"
NCT00074022,"GTI 2040 and Docetaxel in Treating Patients With Recurrent, Metastatic, or Unresectable Locally Advanced Non Small Cell Lung Cancer, Prostate Cancer, or Other Solid Tumors","Phase I,II trial to study the effectiveness of combining GTI 2040 with docetaxel in treating patients who have recurrent, metastatic, or unresectable locally advanced non small cell lung cancer, prostate cancer, or other solid tumors. GTI 2040 may stop the growth of cancer cells by blocking the enzymes necessary for their growth. It may also increase the effectiveness of docetaxel by making the tumor cells more sensitive to the drug. Combining GTI 2040 with docetaxel may kill more tumor cells","OBJECTIVES: I. Determine the recommended phase II dose of GTI 2040 and docetaxel in patients with recurrent, metastatic, or unresectable locally advanced non small cell lung cancer, prostate cancer, or other solid tumors (phase I study closed to accrual as of 8,5,2004). II. Determine the toxicity of this regimen in these patients. III. Determine the objective tumor response rate in patients treated with this regimen. IV. Determine the stable disease rate, time to disease progression, objective response duration, and duration of stable disease in patients treated with this regimen. V. Determine the pharmacokinetics of GTI 2040 when administered in combination with docetaxel in these patients. VI. Correlate the pharmacokinetics of GTI 2040 with the biological and toxic effects of this regimen in these patients. VII. Correlate baseline and post treatment levels of ribonucleotide reductase activity in tumor biopsies and peripheral blood mononuclear cells and tumoral expression of c myc, ras, pRAF1, pMAPK, and markers of apoptosis with clinical outcome in patients treated with this regimen. OUTLINE: This is an open label, dose escalation, multicenter study. Phase I (closed to accrual as of 8,5,2004): Patients receive GTI 2040 IV continuously on days 1 14. Patients also receive docetaxel IV over 1 hour on day 3 during course 1 and on day 1 for all subsequent courses. Courses repeat every 21 days in the absence of disease progression or unacceptable toxicity. Cohorts of 3 6 patients receive escalating doses of GTI 2040 and docetaxel until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose at which 2 of 3 or 2 of 6 patients experience dose limiting toxicity. The recommended phase II dose (RP2D) is defined as the dose preceding the MTD. Phase II: Patients receive GTI 2040 and docetaxel at the RP2D as in phase I. Patients are followed every 3 months. PROJECTED ACCRUAL: A total of 12 48 patients (12 18 for phase I closed to accrual as of 8,5,2004 and 15 30 for phase II) will be accrued for this study within 4 16 months.",Completed,All,18 Years,,,"Up to day 21, Up to day 42",,Single Group Assignment,Treatment,"Recurrent Non small Cell Lung Cancer, Recurrent Prostate Cancer, Stage III Prostate Cancer, Stage IIIA Non small Cell Lung Cancer, Stage IIIB Non small Cell Lung Cancer, Stage IV Non small Cell Lung Cancer, Stage IV Prostate Cancer, Unspecified Adult Solid Tumor, Protocol Specific","GTI 2040, docetaxel, laboratory biomarker analysis, pharmacological study"
NCT04144582,Sintilimab Combined With Docetaxel for Standard Chemotherapy Failure Non driver Gene Mutation Metastatic Non small Cell Lung Cancer,The purpose of this study is to assess the safety and effectiveness of Sintilimab Combined With Docetaxel in Non driver Gene Mutation NSCLC patients who failed with double platinum based chemotherapy,,Completed,All,18 Years,75 Years,,Approximately 1 years,,Single Group Assignment,Treatment,Non small Cell Lung Cancer,Sintilimab Combined With Docetaxel Monotherapy
NCT01671332,"Docetaxel +, Suramin in 2nd Line Advanced Non Small Cell Lung Cancer",The overall purpose of the study is to determine whether or not the inclusion of suramin to standard treatment with docetaxel improves progression free survival for patients with advanced non small cell lung cancer in the second and third line settings.,The overall purpose of the study is to determine whether or not the inclusion of suramin to standard treatment with docetaxel improves progression free survival for patients with advanced non small cell lung cancer in the second and third line settings. Secondary objectives include: To compare response rate of patients in both treatment arms. To compare overall survival of patients in both treatment arms. To compare toxicity in both treatment arms. To determine whether the survival benefit from suramin is associated with reduced M phase entry in peripheral blood lymphocytes,Completed,All,18 Years,,"Carcinoma, non small cell lung, Second line, Third line",Up to 1 year,Randomized,Parallel Assignment,Treatment,"Carcinoma, Non Small Cell Lung","Docetaxel, Suramin, Docetaxel"
NCT00073385,Comparative Trial of Pivanex and Docetaxel Vs Docetaxel Monotherapy in Patients With Advanced Non Small Cell Lung Cancer,"This randomized study will assess the efficacy and safety of the combination of Pivanex and docetaxel compared to docetaxel alone in patients with a type of lung cancer called non small cell lung cancer. Pivanex is an investigational agent, and docetaxel is an approved drug.","Rationale: Pivanex is a histone deacetylase inhibitor that induces tumor differentiation and,or apoptosis. Pivanex has been well tolerated in clinical trials and has shown preliminary evidence of efficacy in patients with non small cell lung cancer. Docetaxel is an approved drug for second line treatment of non small cell lung cancer. Preclinical studies indicate that the combination of Pivanex and docetaxel is synergistic. Purpose: This open label randomized trial will evaluate whether combination therapy with Pivanex and docetaxel provides clinical benefit over docetaxel alone in patients with chemotherapy resistant non small cell lung cancer. Objectives: Compare the survival of patients with non small cell lung cancer treated with combination therapy with Pivanex and docetaxel vs. docetaxel alone. Compare the time to disease progression, tumor responses, and safety profile of patients with non small cell lung cancer treated with combination therapy with Pivanex and docetaxel vs. docetaxel alone Outline: This is a randomized, open label, multicenter study in patients with non small cell lung cancer who have previously been treated with no more than one prior platinum containing chemotherapy regimen. Patients are stratified by ECOG performance status (0 1 vs. 2), response to prior platinum based chemotherapy (progression vs. CR,PR,SD) and prior taxane therapy (yes vs. no). Patients are randomized to 1 of 2 treatment arms. Arm A: Patients receive the combination of Pivanex intravenously on Days 1 3 and docetaxel intravenously on Day 4. Treatment repeats every 21 days until disease progression or treatment withdrawal.. Arm B: Patients receive docetaxel intravenously on Day 1. Treatment repeats every 21 days until disease progression or treatment withdrawal.",Completed,All,18 Years,,"Lung cancer, Docetaxel, Histone deacetylase inhibitor",,Randomized,Parallel Assignment,Treatment,"Carcinoma, Non Small Cell Lung","Pivanex, Docetaxel"
NCT00066768,Suramin and Either Docetaxel or Gemcitabine in Treating Patients With Stage IIIB or Stage IV Platinum Refractory Non Small Cell Lung Cancer,"This randomized phase I trial is studying the side effects and best dose of suramin when given together with either docetaxel or gemcitabine in treating patients with stage IIIB or stage IV non small cell lung cancer that is refractory to platinum chemotherapy (such as cisplatin, carboplatin, or oxaliplatin). Drugs used in chemotherapy such as docetaxel and gemcitabine use different ways to stop tumor cells from dividing so they stop growing or die. Some tumors become resistant to chemotherapy drugs. Combining suramin with either docetaxel or gemcitabine may reduce resistance to the drugs and kill more tumor cells.","OBJECTIVES: I. Determine the safety of low dose suramin administered with docetaxel or gemcitabine in patients with stage IIIB or IV platinum refractory non small cell lung cancer. II. Determine, preliminarily, the antitumor activity of these regimens in these patients. III. Determine whether suramin plasma concentrations in combination with docetaxel or gemcitabine can be predicted by pretreatment dose calculations based on clinical parameters. OUTLINE: This is a randomized, pilot, dose finding study. Patients are randomized to 1 of 2 treatment arms. ARM I: Patients receive low dose suramin IV over 30 minutes and docetaxel IV over 1 hour on day 1. ARM II: Patients receive low dose suramin IV over 30 minutes and gemcitabine IV over 30 minutes on days 1 and 8. In both arms, treatment repeats every 3 weeks for 3 courses in the absence of unacceptable toxicity. Patients with complete or partial response after the initial 3 courses optionally continue the same therapy for 3 additional courses. Patients with disease progression after 6 courses of treatment on the original arm may cross over and receive treatment on the other arm. Patients with progressive disease or stable disease after the initial 3 courses cross over to the other arm and receive treatment on that arm for 3 additional courses. Patients with responsive or stable disease after the sixth course may continue therapy on that arm. Cohorts of 6 12 patients in each arm receive doses of suramin calculated from a clinical formula validated in prior clinical trials. Adjustments on the suramin dose are performed if the initial dose is off target and less than 50 µM peak concentration. The optimal dose is defined as the dose at which at least 5 of 6 patients achieve optimal plasma concentrations of suramin and no more than 1 of 6 patients experiences dose limiting toxicity. In the event of dose limiting toxicity, doses of docetaxel and gemcitabine are adjusted until the optimal dose in combination with suramin is determined. Patients are followed for at least 30 days.",Completed,All,18 Years,,,"Up to 30 days after completion of study treatment, Up to 21 days",Randomized,Crossover Assignment,Treatment,"Recurrent Non small Cell Lung Cancer, Stage IIIB Non small Cell Lung Cancer, Stage IV Non small Cell Lung Cancer","suramin, docetaxel, gemcitabine hydrochloride, laboratory biomarker analysis, pharmacological study"
NCT00076388,Iressa Versus Docetaxel (Taxotere),The purpose of this study is to compare the effects of ZD1839 or docetaxel in patients with advanced non small cell lung cancer (NSCLC) that has recurred or progressed after receiving prior treatment with platinum based chemotherapy.,,Completed,All,18 Years,,Non Small Cell Lung Cancer,,Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Carcinoma,"Gefitinib, Docetaxel"
NCT01999673,Phase 3 Study of Bavituximab Plus Docetaxel Versus Docetaxel Alone in Patients With Late stage Non squamous Non small cell Lung Cancer,"The primary purpose of this research study is to see whether adding bavituximab (an investigational drug) to the standard chemotherapy drug docetaxel, will improve the results of the treatment for non small cell lung cancer.",,Completed,All,18 Years,,"SUNRISE, PPHM 1202, Bavituximab, Peregrine",Approximately up to 36 months,Randomized,Parallel Assignment,Treatment,"Non Small Cell Lung Cancer Stage IIIB, Non Small Cell Lung Cancer Stage IV, Non Small Cell Lung Cancer Metastatic, Carcinoma, Non Small Cell Lung, Non Small Cell Lung Cancer, Non Small Cell Lung Carcinoma, Nonsmall Cell Lung Cancer","bavituximab, Docetaxel, Placebo (for bavituximab)"
NCT00876460,"BIBF 1120 + Docetaxel (Japan) in Patients With Advanced Non small cell Lung Cancer, Phase I","To confirm the safety of BIBF 1120 at a dose level up to 200 mg x 2,day (i.e., overseas recommended Phase III dose for combination treatment) with standard therapy of docetaxel (60 mg,m2 and 75 mg,m2) in Japanese advanced non small cell lung cancer (NSCLC) patients with stage IIIB,IV or recurrent after failure of first line chemotherapy and to determine the recommended dose for the Phase II trial.",,Completed,All,20 Years,74 Years,,"During the first treatment course, up to 3 weeks, Between the first administration of docetaxel and 28 days after last administration of docetaxel and,or nintedanib, up to 1367 days",Non Randomized,Parallel Assignment,Treatment,"Carcinoma, Non Small Cell Lung","BIBF 1120 M + docetaxel M, BIBF 1120 M + docetaxel H, BIBF 1120 H + docetaxel H, BIBF 1120 L + docetaxel M, BIBF 1120 H + docetaxel M"
